,timestamp,open,high,low,close,volume,Real Lower Band,Real Middle Band,Real Upper Band
28,2018-10-15 10:30,260.49,260.49,257.6293,257.7,659710,240.1976,278.242,316.2865
29,2018-10-15 10:00,259.23,262.47,255.696,260.8,988861,240.5085,278.4231,316.3377
30,2018-10-12 16:00,258.27,259.3299,257.61,259.15,920494,240.7715,278.5862,316.401
31,2018-10-12 15:30,257,258.89,256.5,258.41,475076,241.0601,278.7607,316.4614
32,2018-10-12 15:00,255.43,257.92,254.28,256.88,354139,241.3567,278.9406,316.5245
33,2018-10-12 14:30,255.29,255.57,253,255.57,339422,241.683,279.1312,316.5795
34,2018-10-12 14:00,254.61,255.55,253.685,255.2276,257619,242.0241,279.3305,316.6369
35,2018-10-12 13:30,254.53,255.88,253.55,255.015,334144,242.37,279.5342,316.6984
36,2018-10-12 13:00,253.75,254.85,252.11,254.3975,428070,242.7201,279.7383,316.7565
37,2018-10-12 12:30,255.0889,255.1024,253.11,253.9744,357202,243.0848,279.9465,316.8082
38,2018-10-12 12:00,256.05,257.53,254.3469,255.58,489595,243.4635,280.1585,316.8536
39,2018-10-12 11:30,257.0637,257.5405,255.61,256.3101,417613,243.8142,280.3603,316.9065
40,2018-10-12 11:00,256.59,258,256.11,257.03,495647,244.1521,280.5577,316.9633
41,2018-10-12 10:30,260.2075,260.2075,256.501,256.8,677880,244.4886,280.7511,317.0136
42,2018-10-12 10:00,260.81,261.93,256.944,260.29,1485940,244.8304,280.945,317.0596
43,2018-10-11 16:00,251.5,253.5,250.8811,252.22,819951,245.1269,281.1174,317.108
44,2018-10-11 15:30,250.7111,253.5,249.59,251.7942,580954,245.5653,281.3442,317.123
45,2018-10-11 15:00,251.6944,252.1,249.05,250.4816,696193,246.0084,281.5743,317.1402
46,2018-10-11 14:30,252.51,253,251.33,252.06,252100,246.4811,281.8133,317.1455
47,2018-10-11 14:00,253.6,254.2299,251.5,252.71,271224,246.9252,282.0427,317.1601
48,2018-10-11 13:30,252.3849,253.6902,251.27,253.5,305640,247.3595,282.2685,317.1775
49,2018-10-11 13:00,254.2,254.7707,252.11,252.255,310199,247.7828,282.4897,317.1966
50,2018-10-11 12:30,254.15,256.25,253.3,254.6579,315002,248.2313,282.7198,317.2083
51,2018-10-11 12:00,251.58,255.69,250.88,254.4999,499120,248.6394,282.9345,317.2296
52,2018-10-11 11:30,252.09,253.26,250.5,251.98,592112,249.0414,283.1512,317.261
53,2018-10-11 11:00,254.62,254.75,251.281,252.6135,737696,249.4873,283.3848,317.2824
54,2018-10-11 10:30,259.9025,259.9025,252.5,254.6298,963906,249.9231,283.6172,317.3112
55,2018-10-11 10:00,258.39,262.24,251.525,259.95,1780890,250.3235,283.834,317.3444
56,2018-10-10 16:00,258.75,259.1,256,256.88,1127590,250.5376,284.0155,317.4934
57,2018-10-10 15:30,258.3437,258.88,255.4,258.6574,679693,250.7969,284.2171,317.6373
58,2018-10-10 15:00,259.3,261.2944,258,258.28,632448,251.0265,284.4068,317.7871
59,2018-10-10 14:30,259.07,259.44,256.41,259.2349,495170,251.2696,284.5997,317.9299
60,2018-10-10 14:00,256.87,262,256.62,258.9103,955044,251.4781,284.7864,318.0946
61,2018-10-10 13:30,254.3133,258.3,253.12,256.8258,547642,251.6928,284.9752,318.2575
62,2018-10-10 13:00,256.69,256.8564,253.92,254.38,427373,251.9536,285.178,318.4024
63,2018-10-10 12:30,254.82,258.74,254.36,256.75,670031,252.2647,285.3972,318.5296
64,2018-10-10 12:00,250.49,258.77,249.2299,254.96,1303405,252.5669,285.6009,318.6349
65,2018-10-10 11:30,251.5,252.54,249,250.765,920079,252.9033,285.8157,318.728
66,2018-10-10 11:00,253.51,254.49,250.55,251.6069,906940,253.314,286.06,318.8061
67,2018-10-10 10:30,247.835,253.89,247.81,253.552,1690073,253.6931,286.2987,318.9042
68,2018-10-10 10:00,265.51,265.51,247.83,248.06,2202159,254.0472,286.5368,319.0265
69,2018-10-09 16:00,262.085,262.99,261.1,262.77,999248,254.6237,286.8,318.9763
70,2018-10-09 15:30,263.88,264.5114,262.01,262.05,502897,254.9082,286.9658,319.0234
71,2018-10-09 15:00,263.9519,265.8,263.45,263.9466,406645,255.2027,287.1365,319.0704
72,2018-10-09 14:30,265.03,265.62,263.51,263.9,434886,255.4705,287.2957,319.121
73,2018-10-09 14:00,263.86,266.77,263.86,265.02,712509,255.7377,287.4542,319.1707
74,2018-10-09 13:30,263.03,265.5188,262.5,263.95,581615,255.9873,287.6065,319.2258
75,2018-10-09 13:00,263,264.56,262,263.16,505358,256.2578,287.766,319.2742
76,2018-10-09 12:30,263.78,264.49,262.03,263.04,421041,256.5487,287.9315,319.3143
77,2018-10-09 12:00,261.99,264.68,261.69,263.841,577275,256.8467,288.0994,319.3521
78,2018-10-09 11:30,263.09,263.5,259.99,262.09,925310,257.1332,288.2617,319.3903
79,2018-10-09 11:00,262.65,265.015,262.65,263.16,1379688,257.4518,288.4358,319.4198
80,2018-10-09 10:30,259.2,263.61,257.48,262.5821,1596698,257.7557,288.6033,319.4509
81,2018-10-09 10:00,255.58,260.32,253.36,258.89,2860268,258.0741,288.7761,319.4781
